timestamp,second,loop_id,loop_tag,event_marker,mode,quality
2026-06-16T08:00:00+08:00,0,loop_01,FIC-1101,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_02,LIC-1108,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_03,TIC-1115,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_04,PIC-1122,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_05,AIC-1129,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_06,FIC-1136,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_07,LIC-1143,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_08,TIC-1150,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_09,PIC-1157,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_10,AIC-1164,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_11,FIC-1171,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_12,LIC-1178,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_13,TIC-1185,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_14,PIC-1192,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_15,AIC-1199,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_16,FIC-1206,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_17,LIC-1213,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_18,TIC-1220,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_19,PIC-1227,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_20,AIC-1234,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_21,FIC-1241,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_22,LIC-1248,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_23,TIC-1255,window_start,AUTO,GOOD
2026-06-16T08:00:00+08:00,0,loop_24,PIC-1262,window_start,AUTO,GOOD
2026-06-16T08:10:20+08:00,620,loop_06,FIC-1136,quality_bad_start,AUTO,BAD
2026-06-16T08:10:20+08:00,620,loop_14,PIC-1192,quality_bad_start,AUTO,BAD
2026-06-16T08:10:20+08:00,620,loop_22,LIC-1248,quality_bad_start,AUTO,BAD
2026-06-16T08:11:41+08:00,701,loop_06,FIC-1136,quality_recovered,AUTO,GOOD
2026-06-16T08:11:41+08:00,701,loop_14,PIC-1192,quality_recovered,AUTO,GOOD
2026-06-16T08:11:41+08:00,701,loop_22,LIC-1248,quality_recovered,AUTO,GOOD
2026-06-16T08:13:00+08:00,780,loop_05,AIC-1129,mode_auto_to_manual,MAN,GOOD
2026-06-16T08:13:00+08:00,780,loop_13,TIC-1185,mode_auto_to_manual,MAN,GOOD
2026-06-16T08:13:00+08:00,780,loop_21,FIC-1241,mode_auto_to_manual,MAN,GOOD
2026-06-16T08:20:01+08:00,1201,loop_08,TIC-1150,small_sp_excitation,AUTO,GOOD
2026-06-16T08:20:01+08:00,1201,loop_16,FIC-1206,small_sp_excitation,AUTO,GOOD
2026-06-16T08:20:01+08:00,1201,loop_24,PIC-1262,small_sp_excitation,AUTO,GOOD
2026-06-16T08:30:00+08:00,1800,loop_07,LIC-1143,process_disturbance,AUTO,SUSPECT
2026-06-16T08:30:00+08:00,1800,loop_15,AIC-1199,process_disturbance,AUTO,SUSPECT
2026-06-16T08:30:00+08:00,1800,loop_23,TIC-1255,process_disturbance,AUTO,SUSPECT
2026-06-16T08:30:01+08:00,1801,loop_01,FIC-1101,sp_change,AUTO,GOOD
2026-06-16T08:30:01+08:00,1801,loop_02,LIC-1108,sp_change,AUTO,GOOD
2026-06-16T08:30:01+08:00,1801,loop_09,PIC-1157,sp_change,AUTO,GOOD
2026-06-16T08:30:01+08:00,1801,loop_10,AIC-1164,sp_change,AUTO,GOOD
2026-06-16T08:30:01+08:00,1801,loop_17,LIC-1213,sp_change,AUTO,GOOD
2026-06-16T08:30:01+08:00,1801,loop_18,TIC-1220,sp_change,AUTO,GOOD
2026-06-16T08:37:41+08:00,2261,loop_05,AIC-1129,mode_manual_to_auto,AUTO,GOOD
2026-06-16T08:37:41+08:00,2261,loop_13,TIC-1185,mode_manual_to_auto,AUTO,GOOD
2026-06-16T08:37:41+08:00,2261,loop_21,FIC-1241,mode_manual_to_auto,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_01,FIC-1101,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_02,LIC-1108,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_03,TIC-1115,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_04,PIC-1122,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_05,AIC-1129,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_06,FIC-1136,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_07,LIC-1143,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_08,TIC-1150,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_09,PIC-1157,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_10,AIC-1164,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_11,FIC-1171,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_12,LIC-1178,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_13,TIC-1185,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_14,PIC-1192,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_15,AIC-1199,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_16,FIC-1206,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_17,LIC-1213,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_18,TIC-1220,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_19,PIC-1227,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_20,AIC-1234,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_21,FIC-1241,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_22,LIC-1248,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_23,TIC-1255,window_end,AUTO,GOOD
2026-06-16T09:00:00+08:00,3600,loop_24,PIC-1262,window_end,AUTO,GOOD
