timestamp,second,loop_id,loop_tag,unit_name,loop_group,control_type,scenario,pv,sp,op,mode,p,i,d,engineering_unit,quality,event_marker
2026-06-16T08:00:00+08:00,0,loop_01,FIC-1101,气化装置 A,前段,flow,normal,53.804,54.34,56.746,AUTO,1.67,95,0.8,%,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_02,LIC-1108,气化装置 A,后段,level,normal,50.29,50.882,49.493,AUTO,1.07,259,0,%,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_03,TIC-1115,气化装置 A,前段,temperature,oscillation,210.453,210.161,46.613,AUTO,2.65,84,0,degC,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_04,PIC-1122,气化装置 A,后段,pressure,valve_stiction,3.87,3.254,48.653,AUTO,1.16,234,0,MPa,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_05,AIC-1129,气化装置 A,前段,composition,manual_mode,67.144,67.303,47.273,AUTO,1.73,147,0,%,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_06,FIC-1136,气化装置 A,后段,flow,data_quality_issue,62.464,62.891,45.057,AUTO,2.01,98,2.9,%,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_07,LIC-1143,气化装置 A,前段,level,disturbance,40.909,41.281,55.02,AUTO,1.25,207,0,%,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_08,TIC-1150,气化装置 A,后段,temperature,tuning_candidate,226.221,226.756,43.505,AUTO,1.96,138,0,degC,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_09,PIC-1157,气化装置 A,前段,pressure,normal,4.437,4.807,48.342,AUTO,2.24,119,0,MPa,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_10,AIC-1164,气化装置 A,后段,composition,normal,36.462,37.032,48.245,AUTO,2.01,213,0,%,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_11,FIC-1171,气化装置 A,前段,flow,oscillation,54.549,54.839,55.483,AUTO,2,154,13.2,%,GOOD,window_start
2026-06-16T08:00:00+08:00,0,loop_12,LIC-1178,气化装置 A,后段,level,valve_stiction,48.738,48.133,43.14,AUTO,1.82,196,0,%,GOOD,window_start
